departamento,dato,porcentaje
0,0,0
Amazonas ,533,1.1
Antioquia ,32551,2.8
Arauca ,3261,2.7
Archipiélago de San Andrés Providencia y Santa Catalina ,490,3.4
Atlántico ,15399,3.4
Bogotá D.C,26617,4.6
Bolívar ,14727,1.9
Boyacá ,7673,3.1
Caldas ,2178,4.4
Caquetá ,5380,4.3
Casanare ,2573,2.7
Cauca ,13083,3.8
Cesar ,7329,3.1
Chocó ,4219,1.1
Cundinamarca ,12875,3
Córdoba ,19104,4.4
Guainía ,97,4.8
Guaviare ,803,3.1
Huila ,11556,4.5
La Guajira ,5354,3.2
Magdalena ,6444,2.8
Meta ,11460,3.8
Nariño ,17856,5
Norte de Santander ,12165,5
Putumayo ,3175,1.0
Quindío ,2875,3.8
Risaralda ,2409,4.2
Santander ,18386,3.9
Sucre ,8512,3.6
Tolima ,14544,4.4
Valle del Cauca ,40741,3.6
Vaupés ,90,4.7
Vichada ,366,3
