,amazonas,antioquia,arauca,sai,atlantico,bogota,bolivar,boyaca,caldas,caqueta,casanare,cauca,cesar,choco,cordoba,cundinamarca,guainia,guaviare,huila,la guajira,magdalena,meta,narino,norte de santander,putumayo,quindio,risaralda,santander,sucre,tolima,valle del cauca,vaupes,vichada
2004,47,17669,2369,1,520,145,8083,675,4258,7297,2263,2603,9298,5514,2544,1805,126,1929,1602,3303,9582,3634,2530,3898,3099,300,1206,2082,5480,4058,2655,217,283
2005,33,15762,1888,0,439,236,9950,570,5020,4766,974,8925,8154,5001,3492,1502,136,1895,1753,3476,9992,5603,4337,3277,3733,278,977,2265,5552,4103,2963,188,353
2006,39,13873,3154,3,371,261,9542,588,2478,5963,532,4812,5155,3604,3397,1184,183,1565,2128,3164,7133,5931,7593,3182,4035,249,858,2409,3222,5935,5079,123,549
2007,52,13087,3814,3,356,314,7253,642,1810,5782,539,5385,4215,4853,3445,1471,195,1657,2854,1940,7453,4786,14763,2694,4766,318,866,2874,2824,6785,6299,107,958
2008,34,13131,3646,0,292,351,4647,511,1156,5494,426,7233,2836,4436,5024,1184,155,2154,2946,1794,5442,4290,11160,2413,4442,362,670,2190,1893,6512,5664,139,1032
2009,35,10297,2000,1,142,286,2270,307,544,3916,305,5091,1365,2671,4132,640,121,1283,2485,1493,1359,2533,8495,1547,2894,255,366,1161,833,4225,2923,96,339
2010,22,10061,1613,0,109,123,1668,134,287,3853,186,5143,666,2273,4176,256,67,973,1903,1442,817,1831,6784,1143,2355,173,200,657,716,2897,2567,74,251
2011,27,13953,1001,1,104,117,1633,141,255,395,162,9784,521,3481,4443,253,83,817,1933,599,522,1429,8222,1324,2260,127,224,485,474,2783,6284,69,197
2012,45,10969,1075,2,132,164,1447,186,311,3814,228,12670,632,5110,2363,358,66,817,1968,735,792,1562,9729,2180,2931,169,676,544,379,2785,5799,76,180
2013,44,12525,914,2,171,143,2158,242,362,4202,285,11463,726,5565,3423,343,90,781,2481,947,969,1546,9952,2436,2851,228,398,593,491,3052,8911,78,181
2014,74,9399,1038,1,170,177,2056,209,387,4619,346,9060,1014,5609,3083,361,83,694,2729,1501,1330,1572,11460,2711,2872,221,506,589,563,3483,10910,66,177
2015,53,7491,947,1,110,155,1584,166,259,3614,191,7599,884,5.97,1698,286,72,478,2294,577,944,1258,8969,4463,2462,153,333,457,434,2765,5018,53,143
2016,30,4348,731,0,77,83,1080,140,140,1634,213,2467,487,5440,1155,140,39,293,976,365,284,701,4422,2498,1054,98,305,355,281,1833,3025,37,106
2017,26,3395,598,0,93,62,1083,68,67,803,131,2457,386,5205,952,79,45,252,456,226,229,539,5879,2254,548,47,282,188,308,711,2564,30,87
2018,13,4581,362,0,34,24,599,47,30,462,70,1035,168,1021,760,31,20,151,189,56,66,284,2861,7424,288,15,49,89,148,339,699,18,39
total,574,160541,25150,15,3120,2641,55053,4626,17364,56614,6851,95727,36507,59788.97,44087,9893,1481,15739,28697,21618,46914,37499,117156,43444,40590,2993,7916,16938,23598,52266,71360,1371,4875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
