departamento,dato,porcentaje
0,0,0
Amazonas ,533,0.1
Antioquia ,32551,4
Arauca ,3261,0.4
Archipiélago de San Andrés Providencia y Santa Catalina ,490,0.1
Atlántico ,15399,1.9
Bogotá D.C,26617,3.3
Bolívar ,14727,1.8
Boyacá ,7673,0.9
Caldas ,2178,0.3
Caquetá ,5380,0.7
Casanare ,2573,0.3
Cauca ,13083,1.6
Cesar ,7329,0.9
Chocó ,4219,0.5
Cundinamarca ,12875,1.6
Córdoba ,19104,2.3
Guainía ,97,0
Guaviare ,803,0.1
Huila ,11556,1.4
La Guajira ,5354,0.7
Magdalena ,6444,0.8
Meta ,11460,1.4
Nariño ,17856,2.2
Norte de Santander ,12165,1.5
Putumayo ,3175,0.4
Quindío ,2875,0.4
Risaralda ,2409,0.3
Santander ,18386,2.3
Sucre ,8512,1
Tolima ,14544,1.8
Valle del Cauca ,40741,5
Vaupés ,90,0
Vichada ,366,0
